muni_id,community_subtype_id
1,6
2,5
3,6
4,6
5,6
6,8
7,2
8,2
9,6
10,3
11,7
12,8
13,8
14,5
15,6
16,2
17,6
18,4
19,6
20,5
21,7
22,8
23,5
24,7
25,6
26,3
27,7
28,7
29,8
30,2
31,5
32,6
33,8
34,7
35,1
36,5
37,7
38,7
39,7
40,4
41,5
42,6
43,8
44,9
45,6
46,3
47,8
48,4
49,1
50,5
51,7
52,6
53,8
54,7
55,5
56,5
57,1
58,6
59,8
60,8
61,2
62,8
63,8
64,2
65,7
66,8
67,5
68,8
69,8
70,6
71,4
72,6
73,4
74,6
75,5
76,7
77,7
78,7
79,6
80,6
81,7
82,5
83,6
84,6
85,6
86,5
87,2
88,6
89,6
90,8
91,8
92,6
93,1
94,6
95,9
96,5
97,2
98,8
99,6
100,2
101,6
102,7
103,2
104,8
105,7
106,8
107,2
108,8
109,8
110,6
111,7
112,8
113,6
114,6
115,7
116,5
117,6
118,6
119,6
120,7
121,8
122,6
123,6
124,8
125,7
126,6
127,7
128,2
129,8
130,8
131,5
132,8
133,4
134,6
135,6
136,6
137,2
138,6
139,7
140,8
141,6
142,4
143,8
144,6
145,6
146,6
147,6
148,8
149,9
150,6
151,6
152,6
153,2
154,8
155,5
156,8
157,5
158,6
159,4
160,9
161,6
162,7
163,2
164,5
165,1
166,6
167,5
168,4
169,6
170,2
171,5
172,5
173,6
174,4
175,5
176,3
177,6
178,3
179,7
180,6
181,2
182,7
183,8
184,6
185,2
186,6
187,6
188,7
189,5
190,8
191,7
192,6
193,8
194,8
195,8
196,4
197,6
198,4
199,4
200,8
201,9
202,8
203,8
204,8
205,7
206,2
207,3
208,6
209,2
210,6
211,6
212,6
213,5
214,2
215,6
216,6
217,8
218,6
219,7
220,2
221,6
222,8
223,6
224,5
225,8
226,6
227,6
228,7
229,2
230,8
231,5
232,7
233,8
234,8
235,8
236,2
237,8
238,6
239,6
240,7
241,8
242,2
243,2
244,4
245,6
246,4
247,7
248,1
249,8
250,7
251,6
252,6
253,8
254,7
255,8
256,8
257,6
258,2
259,6
260,8
261,5
262,4
263,8
264,5
265,6
266,5
267,8
268,8
269,7
270,6
271,6
272,8
273,2
274,1
275,6
276,7
277,5
278,2
279,7
280,6
281,9
282,7
283,8
284,4
285,4
286,7
287,6
288,5
289,6
290,7
291,4
292,6
293,2
294,7
295,5
296,6
297,8
298,7
299,6
300,8
301,7
302,8
303,7
304,7
305,4
306,8
307,6
308,3
309,6
310,6
311,7
312,8
313,8
314,3
315,5
316,2
317,5
318,5
319,8
320,6
321,6
322,6
323,7
324,7
325,2
326,8
327,8
328,6
329,2
330,7
331,8
332,7
333,5
334,6
335,5
336,4
337,8
338,6
339,6
340,8
341,6
342,5
343,7
344,4
345,8
346,3
347,2
348,9
349,8
350,7
351,5
